,text,user
53,@realDonaldTrump @TuckerCarlson Here's How Much Fox News Hosts Are Intertwined With The Koch Brothers 07/01/14. https://t.co/h6nhgTvmPg,Tentoads4truth
54,"@realDonaldTrump @TuckerCarlson Well, a lot of people seem to be mocking the shit out of how incoherent and despera… https://t.co/JOMWARWoBu",JeffMacIsHere
55,@realDonaldTrump no,kayden73681237
56,"@realDonaldTrump Yes, poll watcher to make sure Trump supporters don't try anything underhanded through your influence.",DebbieDrewVins3
57,"RT @HKrassenstein: @realDonaldTrump @TuckerCarlson Dude, you literally have a secret Chinese bank account, and a foreign bank forgave $200…",AlexSElliot
58,@realDonaldTrump @TuckerCarlson Let’s talk about your families corruption instead.,ZoeyZoeAz
59,"@realDonaldTrump @TuckerCarlson Probably because even Fox, except for Tucker, has said the story is bogus. Refuting… https://t.co/45kwje8Aoz",brianthemerg
60,@realDonaldTrump @JoeBiden would never abandon any American as you have proven to do time and time again… https://t.co/C0LhpPABM4,bluetravel10
61,RT @nancylevine: @realDonaldTrump Trump Poll Watcher? The @FBI is watching the Trump poll watchers. #Vote #Biden  https://t.co/Sznt3oEL7F,picean79
62,@realDonaldTrump @TuckerCarlson https://t.co/0V4Ty4jhlm,radponytail
63,"RT @AnIllicitWriter: @realDonaldTrump This farmer, hit hard by the China trade war, believes Trump is ‘backstabbing’ the people who got him…",BoogidFfskw2002
64,@realDonaldTrump https://t.co/ouhTWAxic6,TariqLeslie
65,"@realDonaldTrump BLAME-then start with the following list. Chinese -CONCEALED  the outbreak ,delayed release of key… https://t.co/Rng9uVNubS",tonivinylbr
66,@realDonaldTrump @TuckerCarlson https://t.co/eIt5zlblhW,K98nights
67,@realDonaldTrump 😂😂😂 https://t.co/G1OGlro2Ct,b_tillmankelly
68,@realDonaldTrump @TuckerCarlson https://t.co/39v2YnREqH,namastemichelle
69,"@realDonaldTrump Mr. President, you're awesome! You're probably the best president America will ever have. We are g… https://t.co/71H18toYIg",GodsSongBird333
70,"@realDonaldTrump @TuckerCarlson Because you squeezed Ukraine's balls and they refused to lie, Putin says it is a li… https://t.co/VLsOGfrjQz",CarmenM14313618
71,"@realDonaldTrump You will never ever be a ""great guy"".",Suzanne12527064
72,"@realDonaldTrump @TuckerCarlson One of your federal judges said, ""No one in their right mind thinks that the report… https://t.co/LhPVAvg8cs",TeamScience4
73,@realDonaldTrump @TuckerCarlson Show us your taxes!! How do you owe money too?,Hypocrisy_45
74,RT @Baligubadle1: @realDonaldTrump @TuckerCarlson They went for Covid and stayed for Hypothermia,AndreasPiotrow2
75,@realDonaldTrump @TuckerCarlson I missed it. I was watching a pre-recording of Kimmel. He had what's her name... St… https://t.co/tHSggB8d1x,NotTheSkywalker
76,@realDonaldTrump Did the folks from Iowa have to WALK home in the freezing temperatures?,looniegrandma
77,"@realDonaldTrump @TuckerCarlson When you cry wolf and lie over and over and over again, it's amazing how people stop listening. #Fraud",PeterLoibl
78,@realDonaldTrump @TuckerCarlson They can't handle the truth.,liomug
79,@realDonaldTrump No. It makes you a carrion feeding vulture.,AlexToy20
80,@realDonaldTrump https://t.co/Z6M0kpseSG,robski2b
81,@realDonaldTrump https://t.co/hnsBkQvKeB,SteveDDees
82,@realDonaldTrump Isn't this illegal?,IRise110
83,@realDonaldTrump What a lost cause!,MississippiLost
84,@realDonaldTrump @SecPompeo https://t.co/qx6HsOegq2,Alina04598629
85,RT @ThomasEBrown3: @realDonaldTrump @TuckerCarlson Harvard doctor rips White House for listing ‘ending the COVID-19 pandemic’ as Trump acco…,Deborah9975
86,"@realDonaldTrump @TuckerCarlson ye well that's nothing new, maybe do smth. about it after all you are still the Pre… https://t.co/qj7WcobdCg",Khorne32811801
87,@realDonaldTrump @JasonMillerinDC The United States and the world deserves better than the #Trumpster.,bruce_in
88,@realDonaldTrump So are you with your businesses in China and bank accounts and Ivanka's businesses there? You gave… https://t.co/Meq0pGoizA,LoisMcCray15
89,@realDonaldTrump @TuckerCarlson https://t.co/TDV9uDwy4u,DayleBrand
90,"@realDonaldTrump It will be over for you. People aren't standing in line to eat tainted meat, breath dirty air, dri… https://t.co/wy2GZQMelS",GREENSUEDESHOOS
91,@realDonaldTrump TRUMP SAYS THOUSANDS OF MY SUPPORTERS ENJOYED STANDING THE FREEZING RAIN AFTER MY NEBRASKA RALLY.,robertk52557163
92,@realDonaldTrump El Paso in my home state of #Texas might disagree with you right about now.,txctryjunkie
93,@realDonaldTrump We need multiple stemulis checks in executive orders and 550 in unemployment back to the end of Ju… https://t.co/SyF3AlYcA2,Afflictedband20
94,@realDonaldTrump @TuckerCarlson Jackals of the same tribe,SpiritHimalaya
95,@realDonaldTrump @TuckerCarlson Awww the orange dump can't spread his misinformation campaign he orchestrated with… https://t.co/hVN0JeeruG,MatthewHokie
96,@realDonaldTrump The ego of trump is crazy,Drew68209284
97,@realDonaldTrump @TuckerCarlson COVID spiking again is the big story Mr. President.  The Biden corruption story is a nothing burger.,jackpickles64
98,@realDonaldTrump @AMERICANCHILEAN Tan cagao del mate!,Pelao_mauro2015
99,@realDonaldTrump https://t.co/5R9PHIht3h,wmashome
100,@realDonaldTrump Silence this nan on Nov 3rd. Period,RIPGOP3
101,RT @mjasfca: @realDonaldTrump And now he - the Predident of the United States - is actively pursuing voter intimidation at the polls. This…,XandriaJax
102,"RT @HKrassenstein: @realDonaldTrump 12,000 people died in a year with Swine Flu.  225,000 have died in just 8-months with Covid.  You are t…",Macsmart31
