,text,user
66,@JoeBiden All the luck Mr President Biden,Sam51387010
67,@JoeBiden Vote for Biden and Harris 2020,Bob82993203
68,@JoeBiden https://t.co/iX5vdChqSH,Justice4Alex93
69,@JoeBiden refuses to answer to the American voters on the grounds it will definitely incriminate his sorry ass!   T… https://t.co/uK9sCMTK1e,RedhotAwareness
70,@JoeBiden No matter what President Trump did you &amp; your party would disagree with him.  Remember Pelosi going aroun… https://t.co/3otNVgi662,aziahawkfan82
71,@JoeBiden Im so glad to see there is still men out there with class willing to do the right thing when it comes to… https://t.co/VhtX71IpCr,JaysonY60437244
72,RT @BradleyWhitford: @JoeBiden’s not gonna leave anyone out in the cold.,jen_iselt
73,@JoeBiden Just imagine what we could have accomplished if the blinding hatred you and those like you have for our P… https://t.co/NTUitR34CC,gregmuri
74,@JoeBiden He was literally a deranged person with a knife. Literally.  He made a very bad choice.   Hold him accoun… https://t.co/UQuupSfDVe,8numrandomcode
75,"@JoeBiden Yes, for Trump!",tom18422684
76,@JoeBiden this was obama helping his rich friends I'm sitting on tons of scrap metal because it's not worth my time… https://t.co/W3AKYCVdiK,Chienreaver
77,@JoeBiden Done ✅,j_vanderveen70
78,@JoeBiden some random trump supporter told me to go back to my ccp- IM AMERICAN——,howisrem
79,@JoeBiden Dear Team Blue:   Please don’t wait until Nov 3. Please go vote for Joe Biden i-person or drop off your b… https://t.co/QB6sosPSdg,SandeepSandySe2
80,@JoeBiden Please vote vote every time you picture this crook becoming President Joe in life it's choices and conseq… https://t.co/wXSI4Cgxgi,LampkinShamekia
81,@JoeBiden @@ Joe Clusters 19 ##The Democrat Virus Party!!! Covid Joe 19!!!!,RRogerston
82,"@JoeBiden Hunter Biden's business partner Patrick Ho was under surveillance for acting as a ""covert agent"" &amp; Biden… https://t.co/lcVigpr0s7",RiKrj61
83,@JoeBiden Nice non policy you got there,tisstorm
84,RT @ZigTj: @JoeBiden what did you think about #TuckerCarlsonTonight wasn't it awesome! #BidenCrimeFamiily #BeijingBiden #ChinaBitchBiden Yo…,realThomDurbin
85,@JoeBiden JAIL TIME FOR YOU!,BrandleShea
86,@JoeBiden #CorruptJoeBiden,JPHMarx
87,RT @BradleyWhitford: @JoeBiden’s not gonna leave anyone out in the cold.,mom_hum_bird
88,@JoeBiden @KamalaHarris https://t.co/tYoowxthD3,WalkTogether4
89,@JoeBiden @KamalaHarris Seen Tucker Carlson interview with Barbalouso . It sure looks like all the Biden's are a pa… https://t.co/CfJOJufHGw,CarolHartcarol
90,@JoeBiden Good luck sir Biden,Storm7zz
91,"RT @TyrenePamstein: @JoeBiden The threat of poverty is most easily defeated with #UBI and most Americans are in favor. Get it done, sir.",triomphen
92,@JoeBiden https://t.co/hxZCZMANVw,vsposten
93,"RT @Dknight10k: @JoeBiden There's Trump, who is literally spreading the virus, death, and destruction and then there's Biden, who wants to…",catfishqueen1
94,@JoeBiden That’s great George,MichaelMoir14
95,@JoeBiden but we don't stand together Joe  you stood with rioters burning down our towns  then you claimed the riot… https://t.co/wYxXsjb0Zr,TallDave7
96,@JoeBiden is cooked as a dogs hind leg https://t.co/3QnH2tU61M,ilagstr
97,"@JoeBiden Trump and allies nazie + Monarchie (Turk + vassal (Itlaie Allemagne, GNA), Russe, Israel, English, Azerba… https://t.co/mmifZlJgso",X0gael0X
98,@JoeBiden is running for his life. When he loses he will be charged for crimes against America. We know this is tru… https://t.co/GOHxyg7abt,dianebederman
99,@JoeBiden We demand answers about your foreign business dealings.  Calling it a smear and moving on when there is t… https://t.co/6u65I3iInR,horrortarian
100,@JoeBiden Did you take that last line from a comic book Joe,AaronSc22281426
101,RT @ScottPresler: @JoeBiden Ask your supporters to stop destroying Philly.   How does looting businesses meant for the black community   he…,WilliamEricFel1
102,@JoeBiden all of these places are saying that it is a true allegation about your son. Your sons own words proves it to be true.,Kenny00577980
103,@JoeBiden Voted for you!,isitoveryet17
104,@JoeBiden No bribe we will not take.,CornpopJohnson
105,@JoeBiden Trump 2020 https://t.co/itPEK65VMO,PaTrioTFIRST52
106,RT @Weinsteinlaw: @JoeBiden Losing this election is not an option.   Donate to @JoeBiden  https://t.co/HDrx16ckU5,rgk_x
107,@JoeBiden 3 reasons Joe Biden is not qualified to president of the United States: -- Dementia  -- Lied about money… https://t.co/OhlYx6ChSi,science4usa
108,@JoeBiden #TrumpQuitOnAmerica   #TrumpDoesntCareAboutYou   #JoeCares,jswpax
109,RT @whodatchacha: @JoeBiden @KamalaHarris  We Need Real Leadership @ltgrusselhonore Is The Person We Need Over #COVID19 task force &amp; @SeanP…,sharnettereese1
110,@JoeBiden Vote for Biden and Harris 2020,Bob82993203
111,@JoeBiden You have no plan. Your plan is exactly what Trump is already doing. STOP LIEING!,Mick90027338
112,RT @trulyindianms: @JoeBiden #BidenCrimeSyndicate  #BidenCriminalFamily  #TrumpRallyOmaha  #Trump2020NowMoreThanEver  #VoteRed  #VoteRedToS…,trulyindianms
113,@JoeBiden @Geeemeee Mediocre liberal,mvpkhun
114,@JoeBiden https://t.co/Mq0CCQkzNs,BronxBomber9
115,@JoeBiden My wife and I did we voted for my favorite Vice President and adopted uncle you. All of my uncle's and mother and father are dead.,shelby3a
116,@JoeBiden I saw the video or a little piece of it and I saw the opportunity where I would’ve signaled for that take… https://t.co/9m3QhC6Kgf,LindaRi04794777
